,Tm,Cmp,Att,P_Yds,P_TD
0,KAN,420,630,4854,40
1,TAM,410,626,4626,42
2,BUF,410,596,4620,40
3,HOU,383,546,4538,33
4,ATL,408,628,4363,27
5,LAC,413,627,4329,31
6,LVR,369,551,4217,28
7,DAL,413,639,4161,25
8,GNB,372,526,4106,48
9,DET,374,582,4104,27
10,IND,371,552,4053,24
11,SFO,371,570,4033,25
12,LAR,392,590,4014,20
13,MIN,349,516,4009,35
14,PIT,428,656,4003,35
15,SEA,388,563,3941,40
16,ARI,387,575,3916,27
17,CAR,373,550,3888,16
18,NOR,370,522,3758,28
19,MIA,370,559,3736,24
20,JAX,387,616,3699,25
21,CHI,402,614,3655,26
22,TEN,316,485,3653,33
23,CLE,315,501,3539,27
24,WAS,389,601,3465,16
25,DEN,317,556,3451,21
26,CIN,372,581,3448,19
27,PHI,334,598,3327,22
28,NYG,321,517,3026,12
29,NWE,283,440,2890,12
30,NYJ,292,499,2796,16
31,BAL,257,406,2739,27
